addresss,category,createdAt,descript,indicentId,location,objectId,pdDiscrict,pdId,resolution,timestamp,updatedAt,weight
STOCKTON ST / CAMPTON PL,LARCENY/THEFT,2015-03-09T10:39:21.531Z,GRAND THEFT FROM LOCKED AUTO,156043596,GeoPoint|37.7889857451928|-122.406867519472,StIb9YnDoh,CENTRAL,15604359606244,NONE,Date|2015-02-21T22:00:00.000Z,2015-03-09T10:39:21.531Z,10
400 Block of BURNETT AV,LARCENY/THEFT,2015-03-09T10:39:21.539Z,GRAND THEFT FROM LOCKED AUTO,156043148,GeoPoint|37.7560038618907|-122.444203110408,CyeFZbCNSd,PARK,15604314806244,NONE,Date|2015-02-21T22:00:00.000Z,2015-03-09T10:39:21.539Z,10
GEARY ST / STOCKTON ST,LARCENY/THEFT,2015-03-09T10:39:21.546Z,GRAND THEFT BICYCLE,156042924,GeoPoint|37.7875673013055|-122.406592269796,PslSfyEEpS,CENTRAL,15604292406314,NONE,Date|2015-02-21T21:30:00.000Z,2015-03-09T10:39:21.546Z,10
500 Block of HAIGHT ST,LARCENY/THEFT,2015-03-09T10:39:21.554Z,GRAND THEFT FROM LOCKED AUTO,156043182,GeoPoint|37.7720549755537|-122.431289969136,BNdDQz39HX,NORTHERN,15604318206244,NONE,Date|2015-02-21T20:40:00.000Z,2015-03-09T10:39:21.554Z,10
400 Block of GEARY ST,LARCENY/THEFT,2015-03-09T10:39:21.562Z,GRAND THEFT FROM LOCKED AUTO,156042952,GeoPoint|37.7869881885308|-122.410699657634,dxFG0tZSH2,CENTRAL,15604295206244,NONE,Date|2015-02-21T19:30:00.000Z,2015-03-09T10:39:21.562Z,10
100 Block of CHANNEL ST,NON-CRIMINAL,2015-03-09T10:39:21.570Z,"AIDED CASE, MENTAL DISTURBED",150161362,GeoPoint|37.7743792347808|-122.390753273663,JWh6aaLpa5,BAYVIEW,15016136264020,NONE,Date|2015-02-21T19:24:00.000Z,2015-03-09T10:39:21.570Z,1
800 Block of BRYANT ST,LARCENY/THEFT,2015-03-09T10:39:21.578Z,GRAND THEFT FROM LOCKED AUTO,156043267,GeoPoint|37.775420706711|-122.403404791479,lEvMjQ84kT,SOUTHERN,15604326706244,NONE,Date|2015-02-21T19:10:00.000Z,2015-03-09T10:39:21.578Z,10
ELLIS ST / FRANKLIN ST,LARCENY/THEFT,2015-03-09T10:39:21.587Z,GRAND THEFT FROM LOCKED AUTO,156043201,GeoPoint|37.7836201224351|-122.422654162984,kdfLLIyHHL,NORTHERN,15604320106244,NONE,Date|2015-02-21T19:00:00.000Z,2015-03-09T10:39:21.587Z,10
THE EMBARCADERONORTH ST / BATTERY ST,LARCENY/THEFT,2015-03-09T10:39:21.595Z,GRAND THEFT FROM UNLOCKED AUTO,156042918,GeoPoint|37.8042568095058|-122.402038998271,jq9OkwVtew,CENTRAL,15604291806224,NONE,Date|2015-02-21T18:59:00.000Z,2015-03-09T10:39:21.595Z,10
0 Block of CRESTLINE DR,LARCENY/THEFT,2015-03-09T10:39:21.609Z,GRAND THEFT FROM LOCKED AUTO,156043154,GeoPoint|37.750241057883|-122.446432100907,Oo6qMiP6sz,PARK,15604315406244,NONE,Date|2015-02-21T18:30:00.000Z,2015-03-09T10:39:21.609Z,10
